Time	Fluo2	mtRCamp
4.66	22.04393	11.46281
4.67	20.16228	10.56577
4.68	18.86987	9.0795
4.69	23.0281	10.4617
4.7	27.9067	12.223
4.71	34.1348	12.37432
4.72	40.22731	12.43542
4.73	32.19833	12.25758
4.74	25.07849	12.26624
4.75	28.39016	14.41475
4.76	31.27078	15.27723
4.77	31.62594	8.60528
4.78	31.65329	3.59671
4.79	30.45807	4.79193
4.8	29.25826	7.37037
4.81	28.04649	13.55792
4.82	27.63746	15.99739
4.83	28.76806	11.24804
4.84	29.58878	9.49347
4.85	29.96047	12.0783
4.86	28.67826	12.58801
4.87	25.56044	10.79466
4.88	27.66437	9.61166
4.89	34.22363	8.94943
4.9	33.63503	11.13225
4.91	28.38422	15.17078
4.92	26.6345	13.61728
4.93	26.60245	9.32026
4.94	25.30899	9.86556
4.95	23.56423	12.14331
4.96	24.92953	13.34539
4.97	27.06201	14.28213
4.98	26.33464	12.09299
4.99	25.17147	9.42752
5	26.6772	7.60649
5.01	28.37336	5.8457
5.02	26.63193	7.65163
5.03	25.02297	9.23014
5.04	25.37812	7.46935
5.05	26.01754	6.43472
5.06	28.55429	10.24682
5.07	29.94189	12.79299
5.08	26.61367	10.14406
5.09	23.32777	8.30632
5.1	20.16136	8.75866
5.11	19.25734	8.56603
5.12	23.00534	7.04719
5.13	24.95729	7.00089
5.14	24.13325	9.23056
5.15	26.3164	10.37116
5.16	32.05161	10.22538
5.17	31.85998	8.74223
5.18	26.28658	6.0447
5.19	27.91577	4.54715
5.2	34.55567	3.88441
5.21	34.00654	6.03845
5.22	29.67695	9.67375
5.23	25.37048	10.60637
5.24	21.07295	10.49316
5.25	24.04491	11.23149
5.26	28.98865	12.2008
5.27	28.61752	11.51789
5.28	27.32511	10.54858
5.29	28.43473	13.34555
5.3	29.75919	16.4794
5.31	27.58855	10.42957
5.32	25.43006	4.8233
5.33	24.63807	10.7684
5.34	23.76638	15.31515
5.35	22.2801	9.07952
5.36	22.42917	4.31291
5.37	30.00633	6.21897
5.38	34.67348	7.46124
5.39	30.42454	6.66977
5.4	27.61086	6.538
5.41	27.96653	7.86298
5.42	28.58418	8.97436
5.43	29.63414	9.73326
5.44	30.19747	11.17229
5.45	30.14888	13.46659
5.46	30.69187	12.33439
5.47	31.80645	7.8916
5.48	29.01556	7.04821
5.49	23.32894	8.87361
5.5	21.89097	11.36092
5.51	22.84426	14.22077
5.52	27.05703	14.97182
5.53	32.63043	14.84258
5.54	34.56656	16.15844
5.55	35.42317	17.9032
5.56	31.0884	13.38897
5.57	25.74091	7.65376
5.58	25.97708	7.56051
5.59	26.81715	8.07747
5.6	26.92207	7.65612
5.61	27.09844	7.22389
5.62	30.02239	7.36916
5.63	32.54209	7.85133
5.64	31.39494	11.38944
5.65	29.92277	13.99493
5.66	26.80495	11.87847
5.67	25.23297	10.62618
5.68	28.81968	12.25772
5.69	30.18592	12.17625
5.7	26.27611	8.02451
5.71	23.68747	6.54409
5.72	23.42899	9.77513
5.73	24.37908	10.96889
5.74	26.94788	9.43403
5.75	26.22674	7.77986
5.76	22.12358	6.00305
5.77	23.29158	6.04048
5.78	28.62252	7.51073
5.79	30.09048	6.8626
5.8	29.23439	4.94
5.81	28.02159	5.36953
5.82	26.64853	6.8558
5.83	26.44699	9.62376
5.84	26.62431	12.80619
5.85	21.64102	10.86751
5.86	15.53463	7.81432
5.87	18.51197	9.96184
5.88	22.64769	12.77258
5.89	26.41409	10.78266
5.9	30.14594	8.64037
5.91	33.00528	11.19262
5.92	35.26894	13.2887
5.93	31.02	10.39732
5.94	26.82901	8.17455
5.95	22.96779	9.75749
5.96	20.5485	10.81244
5.97	23.39181	9.94032
5.98	24.51206	9.62586
5.99	21.21692	10.74044
6	19.18045	11.06615
6.01	19.51958	9.90298
6.02	19.54585	8.81307
6.03	19.12556	7.82774
6.04	21.58341	7.52904
6.05	27.18938	7.98138
6.06	29.47787	9.44276
6.07	28.97693	11.75256
6.08	26.6957	10.20683
6.09	23.2708	6.18433
6.1	23.11491	6.36775
6.11	24.53656	8.58088
6.12	26.65191	9.55087
6.13	29.01082	10.08437
6.14	26.94344	10.29172
6.15	23.80908	10.42045
6.16	24.91242	8.46659
6.17	26.64115	6.20538
6.18	25.00902	5.07867
6.19	23.16862	4.04634
6.2	27.90247	9.79757
6.21	32.12431	14.80182
6.22	29.36165	9.61614
6.23	26.93223	5.20289
6.24	26.65773	5.78448
6.25	26.95054	6.39836
6.26	29.51883	7.14175
6.27	30.60054	7.47796
6.28	27.56337	6.68597
6.29	25.07144	7.70074
6.3	23.68236	12.36996
6.31	23.26663	14.44482
6.32	24.33261	12.5703
6.33	25.42869	10.57682
6.34	26.55981	8.44486
6.35	26.52272	6.91773
6.36	25.44019	5.93188
6.37	26.61995	7.985
6.38	29.35004	12.12072
6.39	28.25838	11.07197
6.4	25.18916	7.34052
6.41	25.93609	6.71084
6.42	28.13319	7.25985
6.43	28.69614	5.93244
6.44	28.82538	4.10704
6.45	26.99093	5.42008
6.46	24.82588	7.26151
6.47	24.32871	7.9572
6.48	23.97356	8.55532
6.49	26.40889	11.40146
